Distribution,Test,20,30,40,50,60
"N(0,1)",F,0.0474,0.0499,0.0485,0.0476,0.0492
"N(0,1)",F1,0.0474,0.0514,0.0496,0.0482,0.0478
"N(0,1)",L,0.0512,0.0523,0.051,0.051,0.0455
"N(0,1)",ML,0.0388,0.0422,0.0426,0.0443,0.0417
"N(0,1)",Cmean,0.0525,0.0569,0.0584,0.056,0.0564
"N(0,1)",Cmed,0.0473,0.0521,0.0548,0.0546,0.0521
"Dexp(1,1)",F,0.1329,0.1424,0.1401,0.1396,0.1448
"Dexp(1,1)",F1,0.0505,0.0503,0.047,0.0479,0.051
"Dexp(1,1)",L,0.0613,0.0562,0.0523,0.0547,0.0528
"Dexp(1,1)",ML,0.0436,0.0449,0.043,0.0465,0.0477
"Dexp(1,1)",Cmean,0.057,0.0543,0.0563,0.0559,0.0563
"Dexp(1,1)",Cmed,0.0477,0.0511,0.0553,0.0534,0.0535
t4,F,0.1458,0.1532,0.1634,0.1668,0.1722
t4,F1,0.0434,0.044,0.0439,0.0434,0.0458
t4,L,0.0555,0.0449,0.0507,0.0532,0.0552
t4,ML,0.0402,0.0362,0.0413,0.0449,0.0481
t4,Cmean,0.0493,0.0535,0.0574,0.0535,0.0644
t4,Cmed,0.0411,0.0485,0.0538,0.0536,0.0623
"Unif[0,1]",F,0.0077,0.0067,0.0077,0.0056,0.0058
"Unif[0,1]",F1,0.044,0.0432,0.0488,0.0435,0.0501
"Unif[0,1]",L,0.0563,0.0547,0.0552,0.0508,0.0538
"Unif[0,1]",ML,0.0338,0.0343,0.0402,0.039,0.0432
"Unif[0,1]",Cmean,0.0372,0.0391,0.0487,0.0604,0.0734
"Unif[0,1]",Cmed,0.0573,0.1081,0.1536,0.1976,0.2342
Normal Mixture,F,0.2174,0.2338,0.243,0.2445,0.2439
Normal Mixture,F1,0.0388,0.0418,0.0448,0.0489,0.0451
Normal Mixture,L,0.0585,0.059,0.0536,0.0541,0.0511
Normal Mixture,ML,0.0347,0.0425,0.0385,0.0419,0.0426
Normal Mixture,Cmean,0.0635,0.0591,0.0566,0.0579,0.0542
Normal Mixture,Cmed,0.0467,0.0505,0.0554,0.0551,0.0522
Std Lognorm,F,0.281,0.2917,0.3056,0.3066,0.3283
Std Lognorm,F1,0.0564,0.0466,0.043,0.0494,0.0432
Std Lognorm,L,0.1973,0.1841,0.1819,0.1878,0.184
Std Lognorm,ML,0.0418,0.0407,0.0399,0.0423,0.0417
Std Lognorm,Cmean,0.0521,0.023,0.0233,0.0291,0.0323
Std Lognorm,Cmed,0.0318,0.0435,0.047,0.0527,0.0529
Std Exp,F,0.1687,0.1842,0.1876,0.1841,0.1898
Std Exp,F1,0.0573,0.0568,0.0546,0.0506,0.055
Std Exp,L,0.1403,0.1393,0.1401,0.132,0.1356
Std Exp,ML,0.0483,0.0485,0.0491,0.045,0.0492
Std Exp,Cmean,0.0356,0.018,0.0206,0.0246,0.0296
Std Exp,Cmed,0.0314,0.0396,0.0458,0.0466,0.0501
